rank#,id,admissionTotalNumber,学校,城市,service
252,982,1,山东省青岛第十五中,青岛市,体制内高中
253,1036,4,山东省济南中学,济南市,体制内高中
254,1094,2,北京潞河国际教育学园,北京市,外籍国际学校
255,1118,5,深圳瑞德福国际学校,深圳市,国际课程学校
256,1125,13,上海诺德安达双语学校,上海市,国际课程学校
257,1152,8,浙江省瑞安中学国际部,温州市,体制内高中
258,1163,4,南京汇点高中,南京市,体制内高中
259,1282,1,南京市雨花台中学,南京市,体制内高中
260,1321,4,重庆育才中学国际部,重庆市,国际课程学校
261,1330,1,拔萃男书院,北京市,外籍国际学校
262,1437,3,广东华侨中学,广州市,体制内高中
263,1448,1,长春美国国际学校,长春市,国际课程学校
264,1465,2,浙江省富阳中学国际部,杭州市,国际课程学校
265,10018,5,福州第三中学国际部,福州市,
266,10040,10,上海文绮汇点美高,上海市,
267,10045,10,广东实验中学附属天河学校,广州市,
268,10053,4,福建省厦门集美中学,厦门市,
269,10081,3,香港华仁书院,香港,
270,10211,6,安徽工业大学附属中学,马鞍山市,
271,10223,12,天津泰达枫叶国际学校,天津市,
272,10244,4,上海赫德双语学校,上海市,
273,69,3,清华大学附属中学,北京市,体制内高中
274,91,5,上海格致中学国际部,上海市,国际课程学校
275,92,1,宁波外国语学校,宁波市,体制内高中
276,116,5,北京乐成国际学校,北京市,国际课程学校
277,264,1,南京句容碧桂园学校,南京市,国际课程学校
278,478,3,南京外国语学校国王国际学校,无锡市,国际课程学校
279,551,11,北京市海淀外国语实验学校国际部,北京市,国际课程学校
280,688,2,上海耀中国际学校,上海市,国际课程学校
281,699,13,北京中学国际部,北京市,国际课程学校
282,809,2,华中师范大学第一附属中学,武汉市,体制内高中
283,1091,1,厦门外国语学校,厦门市,国际课程学校
284,1159,7,香港圣保罗男女中学,香港,外籍国际学校
285,1161,21,天津惠灵顿学校,天津市,外籍国际学校
286,1191,7,香港耀中国际学校,香港,外籍国际学校
287,1234,5,上海德英乐学院,上海市,国际课程学校
288,1323,1,宁波爱学国际学校,宁波市,外籍国际学校
289,1340,3,北京圣保罗美国学校,北京市,国际课程学校
290,1364,2,香港德瑞国际学校,北京市,外籍国际学校
291,1545,1,北京市八一学校,北京市,体制内高中
292,10017,5,福建师范大学附属中学国际部,福州市,
293,10159,3,福州师范大学附属中学国际部,福州市,
294,10202,3,深圳曼彻斯通城堡学校,深圳市,
295,185,2,长沙市第一中学国际部,长沙市,国际课程学校
296,207,1,杭州高级中学,杭州市,体制内高中
297,255,6,济宁孔子学院,济宁市,国际课程学校
298,289,2,北京领科国际学校,北京市,国际课程学校
299,399,1,成都实验外国语学校,成都市,体制内高中
300,507,1,上海德威英国国际学校,上海市,外籍国际学校
301,597,4,武汉枫叶国际学校,武汉市,国际课程学校
302,698,2,Vision Academy,,
303,705,3,北京哈罗英国学校,北京市,国际课程学校
304,735,2,耀华国际学校临港校区,上海市,国际课程学校
305,751,2,珠海德威国际高中,珠海市,国际课程学校
306,792,2,长沙市长郡中学,长沙市,体制内高中
307,929,3,北京市第三十五中学国际部,北京市,国际课程学校
308,941,8,上海宏润博源国际学校,上海市,国际课程学校
309,992,1,山东省青岛第一中学,青岛市,体制内高中
310,993,2,山东省胶南第一中学,青岛市,体制内高中
311,1092,1,天津市实验中学,天津市,体制内高中
312,1137,2,上海复兴高级中学,上海市,体制内高中
313,1215,1,宁波鄞州赫德实验学校,宁波市,国际课程学校
314,1231,3,南昌天行创世纪学校,南昌市,国际课程学校
315,1262,3,探月学院,北京市,国际课程学校
316,1269,8,上海市田家炳中学,上海市,国际课程学校
317,1293,2,杭州第四中学,杭州市,体制内高中
318,1365,1,郑州中学,郑州市,体制内高中
319,1478,1,金华市外国语学校国际班,金华市,国际课程学校
320,1492,3,上海南洋模范私立高中,上海市,国际课程学校
321,1549,1,天津市双菱中学,天津市,外籍国际学校
322,1553,1,重庆第一双语学校,重庆市,国际课程学校
323,10057,2,泸州市天立学校,不适用,
324,10068,2,江苏省昆山中学国际部,昆山地级市,
325,10070,11,华东师范大学附属双语学校,上海市,
326,10083,2,福建省泉州第五中学,泉州市,
327,10095,4,杭州贝赛思国际学校,不适用,
328,10097,2,福建省厦门第六中学,不适用,
329,10151,3,成都石室中学剑桥中学	,成都市,
330,10152,3,广东广雅中学国际部	,广州市,
331,10156,2,香港启思中学,不适用,
332,10188,2,宁波市镇海中学,宁波市,
333,10195,2,上海市甘泉外国语中学,上海市,
334,10234,2,东营胜利一中	,不适用,
335,10294,2,湖北省仙桃中学,省直辖县级行政区划, 
336,128,10,广州美国人国际学校,广州市,外籍国际学校
337,162,2,北京康福国际学校,北京市,国际课程学校
338,192,1,成都七中嘉祥外国语学校,成都市,体制内高中
339,249,1,成都石室天府,成都市,体制内高中
340,282,3,广东顺德德胜学校,北京市,体制内高中
341,332,1,厦门大学附属科技中学,厦门市,体制内高中
