rank#,admissionTotalNumber,University,University,isPiublic,website
115,2,弗吉尼亚理工大学,Virginia Tech,0,
116,7,洛约拉马利蒙特大学,Loyola Marymount University,0,https://www.lmu.edu/
117,1,贝勒大学,Baylor University,0,
118,2,北卡罗莱纳州立大学,North Carolina State University,0,
119,6,美利坚大学,American University,0,
120,2,贡萨加大学,Gonzaga University,0,
121,65,密歇根州立大学,Michigan State University,0,http://www.megoal.org/Michigan-State-University
122,6,爱荷华大学,University of Iowa,0,http://www.megoal.org/University-of-Iowa
123,1,斯蒂文斯理工学院,Stevens Institute of Technology,0,https://www.stevens.edu/
124,54,加州大学河滨分校,"University of California, Riverside",0,
125,11,纽约州立大学宾汉姆顿分校,SUNY Binghamton,0,
126,13,纽约州立大学石溪分校,Stony Brook University--SUNY,0,
127,18,纽约州立大学布法罗分校,University at Buffalo SUNY,0,
128,3,科罗拉多大学波尔多分校,University of Colorado Boulder,0,
129,1,犹他大学,University of Utah,0,
130,4,俄勒冈大学,University of Oregon,0,
131,7,圣十字学院,College of the Holy Cross,0,http://www.megoal.org/College-of-the-Holy-Cross
132,7,匹泽学院,Pitzer College,0,
133,13,欧柏林学院,Oberlin College,0,http://www.megoal.org/Oberlin-College
134,15,斯基德莫尔学院,Skidmore College,0,http://www.megoal.org/Skidmore-College
135,13,拉法耶特学院,Lafayette College,0,
136,7,巴克内尔大学,Bucknell University,0,
137,11,惠特曼学院,Whitman College,0,
138,34,富兰克林马歇尔学院,Franklin and Marshall College,0,
139,14,丹尼森大学,Denison University,0,
140,3,西方学院,Occidental College,0,
141,2,福尔曼大学,Furman University,0,http://www.megoal.org/Furman-University
142,6,三一学院,Trinity College,0,
143,8,迪堡大学,DePauw University,0,
144,4,联合学院,Union College,0,
145,2,南方大学,The University of the South,0,
146,9,狄金森学院,Dickinson College,0,
147,2,康涅狄格学院,Connecticut College,0,
148,5,巴德学院,Bard College,0,http://www.megoal.org/Bard-College
149,28,罗斯－豪曼理工学院,Rose-Hulman Institute of Technology,0,
150,73,爱默生学院,Emerson College,0,
151,25,巴布森学院,Babson College,0,
152,7,亚利桑那州立大学,"Arizona State University, Tempe",0,http://www.megoal.org/Arizona-State-University
153,4,宾汉姆顿大学,Binghamton University SUNY,0,http://www.megoal.org/SUNY__Binghamton
154,6,马里兰艺术学院,Maryland Institute College of Art,0,http://www.megoal.org/Maryland-Institute-College-of-Art
155,3,德雷塞尔大学,Drexel University,0,http://www.megoal.org/Drexel-University
156,1,天普大学,Temple University,0,http://www.megoal.org/Temple-University
157,2,密涅瓦大学,Minerva Schools at KGI,0,
158,1,库伯联盟学院,The Cooper Union for the Advancement of Science and Art,0,
159,8,伯克利音乐学院,Berklee College of Music,0,
160,41,加州大学圣克鲁兹校区,"University of California, Santa Cruz",0,
161,2,迈阿密大学牛津分校,"Miami University, Oxford",0,
162,4,本特利大学,Bentley University,0,
163,1,贝洛伊特学院,Beloit College,0,
164,1,诺克斯学院,Knox College,0,
165,70,爱丁堡大学,The University of Edinburgh,0,
166,99,华威大学,The University of Warwick,0,
167,12,纽约大学阿布扎比分校,New York University Abu Dhabi,0,
168,47,圣安德鲁斯大学,University of St Andrews,0,
169,97,杜伦大学,Durham University,0,
170,217,曼彻斯特大学,The University of Manchester,0,
171,384,多伦多大学,University of Toronto,0,
172,9,拉夫堡大学,Loughborough University,0,
173,58,利兹大学,The University of Leeds,0,
174,35,格拉斯哥大学,University of Glasgow,0,
175,1,伦敦大学皇家霍洛威学院,Royal Holloway University of London,0,
176,43,南安普顿大学,University of Southampton,0,
177,50,谢菲尔德大学,The University of Sheffield,0,
178,6,纽卡斯尔大学,Newcastle University,0,
179,6,利物浦大学,University of Liverpool,0,
180,29,伦敦大学国王学院,King's College London,0,
181,8,卡迪夫大学,Cardiff University,0,
182,2,雷丁大学,University of Reading,0,
183,3,巴斯大学,University of Bath,0,
184,45,布里斯托大学,University of Bristol,0,
185,8,艺术中心设计学院,Art Center College of Design,0,
186,21,兰卡斯特大学,Lancaster University,0,
